('VITI', 4.363636363636364, 'N/A')
('DALR', 6.126616746085772, 'N/A')
('HRUR', 3.5211267605633805, 'N/A')
('HOTR', 5.876288659793815, 'N/A')
('JONG', 3.571428571428571, 'N/A')
('GODA', 5.7441253263707575, 'N/A')
('LOKT', 5.668398677373642, 'N/A')
('STAM', 8.560311284046692, 'N/A')
('SOSU', 4.403992953611274, 'N/A')
('OSKV', 4.010695187165775, 'N/A')
('JONS', 7.614213197969544, 'N/A')
('TOHR', 7.608695652173914, 'N/A')
('HELL', 5.676855895196507, 'N/A')
('MYNG', 5.833333333333333, 'N/A')
('MIDF', 7.591933570581258, 'N/A')
('MYVO', 7.780979827089338, 'N/A')
('OSVA', 3.6101083032490973, 'N/A')
('ASK', 12.5, 'N/A')
('OLGR', 4.285714285714286, 'N/A')
('RODG', 4.326923076923077, 'N/A')
('VBOR', 7.105263157894736, 'N/A')
('KLUR', 4.8, 'N/A')
('SVAD', 7.115198451113263, 'N/A')
('ATOP', 4.56273764258555, 'N/A')
('RIFR', 9.461235216819974, 'N/A')
('TOLI', 9.67741935483871, 'N/A')
('MOFO', 5.124223602484472, 'N/A')
('KATT', 9.71502590673575, 'N/A')
('FJAS', 7.840909090909092, 'N/A')
('VADA', 4.72972972972973, 'N/A')
('LIND', 10.023866348448687, 'N/A')
('FLAT', 8.9179548156956, 'N/A')
('FLUR', 5.76112412177986, 'N/A')
('APAL', 6.282722513089005, 'N/A')
('VIFE', 10.833333333333334, 'N/A')
('TROL', 0.0, 'N/A')
('LOGR', 9.58904109589041, 'N/A')
('NAUG', 2.083333333333333, 'N/A')
('DREK', 8.51063829787234, 'N/A')
('DYFE', 0.0, 'N/A')
('HOTT', 10.434782608695652, 'N/A')
('DYSA', 7.534246575342466, 'N/A')
('STOR', 4.054054054054054, 'N/A')
('VIKS', 0.0, 'N/A')
('average_inside_caldera', 5.18929490597181, 1.2480692350300697)
('average_outside_caldera', 7.334692255189961, 2.4901770314962497)
